id,postsurvey_question_id,user_id,description,created_at
1257,1,5,"20 minutes","2015-12-25 02:51:47"
1258,2,5,Medium,"2015-12-25 02:51:47"
1259,1,9,00:28,"2015-12-25 02:57:21"
1260,2,9,Medium,"2015-12-25 02:57:21"
1261,3,9,,"2015-12-25 02:57:21"
1262,1,13,35:00,"2015-12-25 03:07:20"
1263,2,13,High,"2015-12-25 03:07:20"
1264,3,13,"The first few suggestions came rather quickly, and then I struggled to think of more ideas.","2015-12-25 03:07:20"
1265,1,14,"30 minutes","2015-12-25 03:34:36"
1266,2,14,Medium,"2015-12-25 03:34:36"
1267,3,14,,"2015-12-25 03:34:36"
1268,1,16,00:12,"2015-12-25 02:46:50"
1269,2,16,Easy,"2015-12-25 02:46:50"
1270,3,16,,"2015-12-25 02:46:50"
1271,1,17,00:40,"2015-12-25 03:04:54"
1272,2,17,High,"2015-12-25 03:04:54"
1273,3,17,,"2015-12-25 03:04:54"
1274,1,22,20,"2015-12-25 03:13:44"
1275,2,22,High,"2015-12-25 03:13:44"
1276,3,22,"fun survey - i hope to make enough money in my life to build a smart home!","2015-12-25 03:13:45"
1277,1,24,"about hour","2015-12-25 03:43:21"
1278,2,24,High,"2015-12-25 03:43:21"
1279,3,24,,"2015-12-25 03:43:22"
1280,1,25,"45 minuets ","2015-12-25 03:30:54"
1281,2,25,Medium,"2015-12-25 03:30:54"
1282,3,25,good,"2015-12-25 03:30:55"
1283,1,26,00:45,"2015-12-25 03:32:45"
1284,2,26,High,"2015-12-25 03:32:45"
1285,3,26,,"2015-12-25 03:32:45"
1286,1,27,"20-25 Minutes","2015-12-25 05:11:22"
1287,2,27,Medium,"2015-12-25 05:11:22"
1288,3,27,,"2015-12-25 05:11:22"
1289,1,28,00:15,"2015-12-25 03:21:42"
1290,2,28,Easy,"2015-12-25 03:21:42"
1291,3,28,"I didn't track the time it took for me to come up with ideas on the main task so i made an estimate.","2015-12-25 03:21:42"
1292,1,30,"01:15 Hours","2015-12-25 04:14:16"
1293,2,30,Medium,"2015-12-25 04:14:16"
1294,3,30,"Very good survey ","2015-12-25 04:14:16"
1295,1,34,00:40,"2015-12-25 03:25:31"
1296,2,34,Easy,"2015-12-25 03:25:31"
1297,3,34,,"2015-12-25 03:25:31"
1298,1,37,00:47,"2015-12-25 04:55:37"
1299,2,37,Medium,"2015-12-25 04:55:37"
1300,3,37,,"2015-12-25 04:55:37"
1301,1,38,"It took me about 15 minutes","2015-12-25 03:32:20"
1302,2,38,High,"2015-12-25 03:32:20"
1303,3,38,None,"2015-12-25 03:32:20"
1304,1,39,01:15,"2015-12-25 04:09:42"
1305,2,39,High,"2015-12-25 04:09:42"
1306,3,39,"Very good study. Instructions were clear. ","2015-12-25 04:09:42"
1307,1,40,00:25,"2015-12-25 03:49:40"
1308,2,40,Medium,"2015-12-25 03:49:40"
1309,3,40,,"2015-12-25 03:49:40"
1310,1,41,"40 mins","2015-12-25 04:16:27"
1311,2,41,High,"2015-12-25 04:16:27"
1312,3,41,,"2015-12-25 04:16:27"
1313,1,42,"40 minutes","2015-12-25 04:03:06"
1314,2,42,"Very high","2015-12-25 04:03:06"
1315,3,42,,"2015-12-25 04:03:06"
1316,1,43,00:30,"2015-12-25 04:08:56"
1317,2,43,High,"2015-12-25 04:08:56"
1318,3,43,,"2015-12-25 04:08:56"
1319,1,46,"40 minutes","2015-12-25 05:07:19"
1320,2,46,Medium,"2015-12-25 05:07:19"
1321,3,46,"interesting task","2015-12-25 05:07:19"
1322,1,49,00:40,"2015-12-25 06:02:37"
1323,2,49,"Very high","2015-12-25 06:02:37"
1324,3,49,,"2015-12-25 06:02:37"
1325,1,51,00:20,"2015-12-25 05:59:03"
1326,2,51,Medium,"2015-12-25 05:59:03"
1327,3,51,,"2015-12-25 05:59:03"
1328,1,53,00:25,"2015-12-25 08:09:11"
1329,2,53,Medium,"2015-12-25 08:09:11"
1330,3,53,"No Comments.","2015-12-25 08:09:11"
1331,1,54,"about 15 minutes.","2015-12-25 13:24:45"
1332,2,54,Medium,"2015-12-25 13:24:45"
1333,3,54,,"2015-12-25 13:24:45"
1334,1,56,"15 minutes and 26 seconds.","2015-12-25 13:18:11"
1335,2,56,Medium,"2015-12-25 13:18:11"
1336,3,56,"It was hard to think of things because so many are available on the market today.","2015-12-25 13:18:11"
1337,1,59,"about 20 minutes","2015-12-25 13:30:44"
1338,2,59,Medium,"2015-12-25 13:30:44"
1339,3,59,,"2015-12-25 13:30:44"
1340,1,60,"40 minutes","2015-12-25 13:48:01"
1341,2,60,High,"2015-12-25 13:48:01"
1342,3,60,,"2015-12-25 13:48:01"
1343,1,61,00:28,"2015-12-25 13:37:34"
1344,2,61,Medium,"2015-12-25 13:37:34"
1345,3,61,,"2015-12-25 13:37:34"
1346,1,62,00:30,"2015-12-25 13:32:14"
1347,2,62,Medium,"2015-12-25 13:32:14"
1348,3,62,,"2015-12-25 13:32:14"
1349,1,63,00.30,"2015-12-25 13:43:03"
1350,2,63,Medium,"2015-12-25 13:43:03"
1351,3,63,good,"2015-12-25 13:43:03"
1352,1,65,"30 minutes","2015-12-25 13:59:35"
1353,2,65,Medium,"2015-12-25 13:59:35"
1354,3,65,,"2015-12-25 13:59:35"
1355,1,66,20,"2015-12-25 14:06:27"
1356,2,66,"Very easy","2015-12-25 14:06:27"
1357,3,66,,"2015-12-25 14:06:27"
1358,1,68,"I guess about 30 minutes. ","2015-12-25 13:51:06"
1359,2,68,Medium,"2015-12-25 13:51:06"
1360,3,68,"It was pretty fun. ","2015-12-25 13:51:06"
1361,1,69,"About 15 minutes","2015-12-25 13:31:11"
1362,2,69,Medium,"2015-12-25 13:31:11"
1363,3,69,Thanks!,"2015-12-25 13:31:11"
1364,1,72,45m,"2015-12-25 14:01:38"
1365,2,72,High,"2015-12-25 14:01:38"
1366,3,72,"Interesting but perhaps more concrete examples are needed to Jumpstart thoughts","2015-12-25 14:01:38"
1367,1,73,"I didn't time myself. At least 30 minutes, probably more.","2015-12-25 14:57:29"
1368,2,73,Medium,"2015-12-25 14:57:29"
1369,3,73,,"2015-12-25 14:57:29"
1370,1,74,"40 minutes","2015-12-25 14:15:21"
1371,2,74,High,"2015-12-25 14:15:21"
1372,3,74,,"2015-12-25 14:15:22"
1373,1,75,"I spent approximately 20 minutes on the main tasks","2015-12-25 14:29:07"
1374,2,75,Medium,"2015-12-25 14:29:07"
1375,3,75,"I enjoyed trying to think of various smart home opportunities and ideas.  Thanks for the opportunity to participate, good luck with your research and have a wonderful holiday season!","2015-12-25 14:29:07"
1376,1,79,"15 minutes","2015-12-25 15:28:22"
1377,2,79,Medium,"2015-12-25 15:28:22"
1378,3,79,good,"2015-12-25 15:28:22"
1379,1,82,00:20,"2015-12-25 15:23:54"
1380,2,82,High,"2015-12-25 15:23:54"
1381,3,82,"Thank you","2015-12-25 15:23:54"
1382,1,84,00:45,"2015-12-25 15:55:13"
1383,2,84,Medium,"2015-12-25 15:55:13"
1384,3,84,,"2015-12-25 15:55:14"
1385,1,85,"25 minutes","2015-12-25 15:49:07"
1386,2,85,Medium,"2015-12-25 15:49:07"
1387,3,85,"thanks for the study","2015-12-25 15:49:07"
1388,1,87,"maybe 10 to 20 minutes?","2015-12-25 15:55:27"
1389,2,87,Easy,"2015-12-25 15:55:27"
1390,3,87,,"2015-12-25 15:55:27"
1391,1,88,"15 mintues","2015-12-25 15:50:35"
1392,2,88,Medium,"2015-12-25 15:50:35"
1393,3,88,,"2015-12-25 15:50:35"
1394,1,91,"25 minutes","2015-12-25 16:53:02"
1395,2,91,Medium,"2015-12-25 16:53:02"
1396,1,92,00:30,"2015-12-25 16:44:31"
1397,2,92,Medium,"2015-12-25 16:44:31"
1398,3,92,,"2015-12-25 16:44:31"
1399,1,93,00:30,"2015-12-25 18:04:28"
1400,2,93,Medium,"2015-12-25 18:04:28"
1401,3,93,,"2015-12-25 18:04:28"
1402,1,102,"thirty minutes","2015-12-26 06:09:11"
1403,2,102,Easy,"2015-12-26 06:09:11"
1404,3,102,"It was a lot of fun trying to think of useful new smart technologies! Thanks!","2015-12-26 06:09:11"
1405,1,106,"30 minutes","2015-12-27 15:55:24"
1406,2,106,Medium,"2015-12-27 15:55:24"
1407,3,106,,"2015-12-27 15:55:24"
1408,1,108,"15 minutes","2015-12-27 16:04:13"
1409,2,108,High,"2015-12-27 16:04:13"
1410,3,108,,"2015-12-27 16:04:13"
1411,1,109,"25 minutes","2015-12-27 16:02:18"
1412,2,109,Medium,"2015-12-27 16:02:19"
1413,3,109,"very interesting, Thank you","2015-12-27 16:02:19"
1414,1,111,"00:30 minutes","2015-12-27 15:58:13"
1415,2,111,High,"2015-12-27 15:58:13"
1416,3,111,,"2015-12-27 15:58:13"
1417,1,113,"15 minutes","2015-12-27 15:45:45"
1418,2,113,Medium,"2015-12-27 15:45:45"
1419,3,113,,"2015-12-27 15:45:45"
1420,1,114,00:30,"2015-12-27 16:20:17"
1421,2,114,Medium,"2015-12-27 16:20:17"
1422,3,114,,"2015-12-27 16:20:17"
1423,1,115,00:30,"2015-12-27 16:03:06"
1424,2,115,"Very high","2015-12-27 16:03:06"
1425,3,115,,"2015-12-27 16:03:06"
1426,1,116,00:24:00,"2015-12-27 15:49:20"
1427,2,116,Medium,"2015-12-27 15:49:20"
1428,3,116,,"2015-12-27 15:49:20"
1429,1,117,00:30,"2015-12-27 16:03:47"
1430,2,117,Medium,"2015-12-27 16:03:47"
1431,3,117,,"2015-12-27 16:03:47"
1432,1,119,00:45,"2015-12-27 16:27:22"
1433,2,119,Medium,"2015-12-27 16:27:22"
1434,3,119,"I didn't feel very novel in the task.","2015-12-27 16:27:23"
1435,1,120,"about ten minutes","2015-12-27 16:18:56"
1436,2,120,Medium,"2015-12-27 16:18:56"
1437,3,120,n/a,"2015-12-27 16:18:56"
1438,1,122,"20 minutes","2015-12-27 16:00:05"
1439,2,122,Medium,"2015-12-27 16:00:05"
1440,3,122,,"2015-12-27 16:00:05"
1441,1,123,00:40,"2015-12-27 16:16:55"
1442,2,123,"Very easy","2015-12-27 16:16:55"
1443,3,123,"It was an interesting task. Thank you.","2015-12-27 16:16:55"
1444,1,126,:22,"2015-12-27 17:50:58"
1445,2,126,Medium,"2015-12-27 17:50:58"
1446,3,126,"I did not realize one of my suggestions was so similar to one of the example suggestions (forgot the example while typing up the suggestion I made).","2015-12-27 17:50:58"
1447,1,128,"About 15-20 minutes. ","2015-12-27 18:04:51"
1448,2,128,Medium,"2015-12-27 18:04:51"
1449,3,128,,"2015-12-27 18:04:51"
1450,1,129,00:35,"2015-12-27 20:17:35"
1451,2,129,High,"2015-12-27 20:17:35"
1452,3,129,"I think the ""Other"" option doesn't work. That's because when I chose it and then submitted my response, I'm take to an error page with programming codes. So I clicked to go bank and chose a different option, after which the submission was successful.","2015-12-27 20:17:35"
1453,1,130,"Over an hour","2015-12-27 20:30:47"
1454,2,130,High,"2015-12-27 20:30:47"
1455,3,130,,"2015-12-27 20:30:47"
1456,1,131,"20 minutes","2015-12-27 20:30:55"
1457,2,131,Medium,"2015-12-27 20:30:55"
1458,3,131,"Very fun and interesting study. All instructions were very well laid out, and very detailed.","2015-12-27 20:30:55"
1459,1,132,"20 minutes","2015-12-27 22:50:53"
1460,2,132,Medium,"2015-12-27 22:50:53"
1461,3,132,,"2015-12-27 22:50:53"
1462,1,133,"20 minutes","2015-12-27 23:43:39"
1463,2,133,High,"2015-12-27 23:43:39"
1464,3,133,"So I think that when I tried to make a task with ""Other"" selected, it gave me an error and I had to press back on the browser","2015-12-27 23:43:39"
1465,1,135,00:20,"2015-12-28 00:11:08"
1466,2,135,Medium,"2015-12-28 00:11:08"
1467,3,135,,"2015-12-28 00:11:08"
1468,1,136,00:20,"2015-12-28 00:26:15"
1469,2,136,Medium,"2015-12-28 00:26:15"
1470,3,136,,"2015-12-28 00:26:15"
1471,1,139,"about 0:30 minutes, I didn't keep track but probably that much time or more","2015-12-28 00:55:38"
1472,2,139,Medium,"2015-12-28 00:55:38"
1473,3,139,"It was an interesting task that I enjoyed doing.","2015-12-28 00:55:38"
1474,1,141,00:33,"2015-12-28 00:30:44"
1475,2,141,Medium,"2015-12-28 00:30:44"
1476,3,141,"good task","2015-12-28 00:30:44"
1477,1,142,:25,"2015-12-28 00:15:54"
1478,2,142,Medium,"2015-12-28 00:15:54"
1479,3,142,,"2015-12-28 00:15:54"
1480,1,144,38:00,"2015-12-28 00:30:46"
1481,2,144,Medium,"2015-12-28 00:30:46"
1482,3,144,,"2015-12-28 00:30:46"
1483,1,145,"26 minutes","2015-12-28 00:25:48"
1484,2,145,High,"2015-12-28 00:25:48"
1485,3,145,,"2015-12-28 00:25:49"
1486,1,146,"45 minutes","2015-12-28 00:33:56"
1487,2,146,Medium,"2015-12-28 00:33:57"
1488,3,146,,"2015-12-28 00:33:57"
1489,1,147,"10 minutes","2015-12-28 00:27:01"
1490,2,147,Medium,"2015-12-28 00:27:01"
1491,3,147,,"2015-12-28 00:27:01"
1492,1,150,"18-25 minutes","2015-12-28 00:54:27"
1493,2,150,Medium,"2015-12-28 00:54:27"
1494,3,150,"It was somewhat tough to come up with enough novel ideas, but not too tough.","2015-12-28 00:54:27"
1495,1,151,00:30,"2015-12-28 00:54:11"
1496,2,151,"Very high","2015-12-28 00:54:11"
1497,3,151,nothing,"2015-12-28 00:54:11"
1498,1,152,00:40,"2015-12-28 01:31:18"
1499,2,152,High,"2015-12-28 01:31:18"
1500,3,152,thanks,"2015-12-28 01:31:18"
1501,1,154,00:35,"2015-12-28 02:11:08"
1502,2,154,"Very high","2015-12-28 02:11:08"
1503,3,154,thanks,"2015-12-28 02:11:09"
1504,1,155,"The main tasks took between 35-45 minutes because of the intensive thought process that is required to generate novel ideas.","2015-12-28 03:23:22"
1505,2,155,High,"2015-12-28 03:23:22"
1506,3,155,"I gave it my best effort which is why it took so long. Hopefully, I will win the bonus!","2015-12-28 03:23:22"
1507,1,156,"10 minutes or so I think.","2015-12-28 03:16:31"
1508,2,156,Medium,"2015-12-28 03:16:31"
1509,3,156,,"2015-12-28 03:16:31"
1510,1,157,"30 minutes","2015-12-28 03:14:10"
1511,2,157,Medium,"2015-12-28 03:14:10"
1512,3,157,,"2015-12-28 03:14:10"
1513,1,158,00:35,"2015-12-28 03:30:05"
1514,2,158,High,"2015-12-28 03:30:05"
1515,3,158,Thanks,"2015-12-28 03:30:05"
1516,1,159,"45 minutes","2015-12-28 03:39:05"
1517,2,159,High,"2015-12-28 03:39:05"
1518,3,159,,"2015-12-28 03:39:05"
1519,1,160,"18 min","2015-12-28 03:25:34"
1520,2,160,Medium,"2015-12-28 03:25:34"
1521,3,160,,"2015-12-28 03:25:34"
1522,1,162,"35 minutes","2015-12-28 04:35:04"
1523,2,162,Easy,"2015-12-28 04:35:04"
1524,3,162,good,"2015-12-28 04:35:04"
1525,1,166,"About 35 to 40 minutes.","2015-12-28 12:47:33"
1526,2,166,Medium,"2015-12-28 12:47:33"
1527,3,166,,"2015-12-28 12:47:33"
1528,1,167,"45 minutes","2015-12-28 12:10:35"
1529,2,167,High,"2015-12-28 12:10:35"
1530,1,168,00:40,"2015-12-28 12:31:52"
1531,2,168,Medium,"2015-12-28 12:31:52"
1532,3,168,,"2015-12-28 12:31:52"
1533,1,169,00:25,"2015-12-28 12:04:22"
1534,2,169,Medium,"2015-12-28 12:04:22"
1535,3,169,,"2015-12-28 12:04:22"
1536,1,170,00:45,"2015-12-28 12:20:23"
1537,2,170,High,"2015-12-28 12:20:23"
1538,3,170,,"2015-12-28 12:20:23"
1539,1,173,00:22,"2015-12-28 12:12:25"
1540,2,173,Easy,"2015-12-28 12:12:25"
1541,3,173,"The task was fun and interesting.","2015-12-28 12:12:25"
1542,1,174,"1 hour","2015-12-28 12:38:00"
1543,2,174,"Very high","2015-12-28 12:38:00"
1544,3,174,,"2015-12-28 12:38:00"
1545,1,175,10,"2015-12-28 12:38:12"
1546,2,175,Medium,"2015-12-28 12:38:12"
1547,3,175,n/a,"2015-12-28 12:38:12"
1548,1,176,"17 minutes","2015-12-28 12:30:39"
1549,2,176,Medium,"2015-12-28 12:30:39"
1550,3,176,,"2015-12-28 12:30:39"
1551,1,177,"60 minutes ","2015-12-28 13:05:23"
1552,2,177,High,"2015-12-28 13:05:23"
1553,3,177,,"2015-12-28 13:05:23"
1554,1,181,"25 minutes","2015-12-28 13:11:24"
1555,2,181,Medium,"2015-12-28 13:11:24"
1556,3,181,,"2015-12-28 13:11:24"
1557,1,182,"22 minutes ","2015-12-28 13:24:50"
1558,2,182,Easy,"2015-12-28 13:24:50"
1559,3,182,"fun study guys !","2015-12-28 13:24:50"
1560,1,184,"about 30 minutes","2015-12-28 13:57:51"
1561,2,184,Medium,"2015-12-28 13:57:51"
1562,3,184,,"2015-12-28 13:57:51"
1563,1,185,"I would guess the main task took me 1 hour and 15 minutes. I lost connection in the beginning and it took me all the way back to the beginning. That is the only reason for the gap in time. ","2015-12-28 14:13:42"
1564,2,185,Medium,"2015-12-28 14:13:42"
1565,3,185,"I would like to say thank you, and that I really enjoyed taking part in this survey. ","2015-12-28 14:13:42"
1566,1,188,20:00,"2015-12-28 14:45:11"
1567,2,188,Medium,"2015-12-28 14:45:11"
1568,3,188,,"2015-12-28 14:45:11"
1569,1,190,"20 minutes","2015-12-28 15:53:19"
1570,2,190,Medium,"2015-12-28 15:53:19"
1571,3,190,,"2015-12-28 15:53:19"
1572,1,191,"15 minutes","2015-12-28 15:29:56"
1573,2,191,Medium,"2015-12-28 15:29:56"
1574,3,191,,"2015-12-28 15:29:56"
1575,1,192,"approximately 1 hour","2015-12-28 16:34:55"
1576,2,192,Medium,"2015-12-28 16:34:55"
1577,3,192,"I LOVE the idea of a Eureka-style smarthouse. Gotta be programmable/adjustable for individual tastes, of course, because SARAH is hilarious but would annoy the shit out of me in real life. But it's a good starting point for ideas!","2015-12-28 16:34:55"
1578,1,193,00:38,"2015-12-28 17:38:52"
1579,2,193,Medium,"2015-12-28 17:38:52"
1580,3,193,"thank you so much!","2015-12-28 17:38:52"
1581,1,195,00:25,"2015-12-28 19:03:32"
1582,2,195,Medium,"2015-12-28 19:03:32"
1583,3,195,,"2015-12-28 19:03:32"
1584,1,202,30minutes,"2015-12-28 20:53:15"
1585,2,202,Easy,"2015-12-28 20:53:15"
1586,3,202,,"2015-12-28 20:53:16"
1587,1,205,30,"2015-12-28 20:28:55"
1588,2,205,"Very high","2015-12-28 20:28:55"
1589,3,205,,"2015-12-28 20:28:55"
1590,1,206,"20 minutes","2015-12-28 20:48:49"
1591,2,206,Medium,"2015-12-28 20:48:49"
1592,3,206,"none, thanks","2015-12-28 20:48:49"
1593,1,208,"45 minutes","2015-12-28 21:28:05"
1594,2,208,Medium,"2015-12-28 21:28:05"
1595,3,208,,"2015-12-28 21:28:05"
1596,1,209,"i take 00:43 minutes","2015-12-28 20:58:57"
1597,2,209,Easy,"2015-12-28 20:58:57"
1598,3,209,,"2015-12-28 20:58:57"
1599,1,212,00:30,"2015-12-28 20:57:38"
1600,2,212,Medium,"2015-12-28 20:57:38"
1601,1,214,"About 25 minutes","2015-12-28 20:56:38"
1602,2,214,Medium,"2015-12-28 20:56:38"
1603,3,214,"I didn't want to think of things that were already probably thought of.","2015-12-28 20:56:38"
1604,1,218,"45 minutes ","2015-12-28 21:16:02"
1605,2,218,High,"2015-12-28 21:16:02"
1606,3,218,"none ","2015-12-28 21:16:02"
1607,1,219,"20 minutes","2015-12-28 21:24:10"
1608,2,219,Medium,"2015-12-28 21:24:10"
1609,3,219,"I think there are limited things that a smart home is capable of doing ","2015-12-28 21:24:11"
1610,1,220,00:30,"2015-12-28 21:34:27"
1611,2,220,Medium,"2015-12-28 21:34:28"
1612,3,220,,"2015-12-28 21:34:28"
1613,1,221,"00:30 minutes","2015-12-28 21:37:45"
1614,2,221,High,"2015-12-28 21:37:45"
1615,3,221,"Nice study but had some confusions","2015-12-28 21:37:45"
1616,1,222,"About 20 minutes","2015-12-28 22:13:35"
1617,2,222,"Very high","2015-12-28 22:13:35"
1618,3,222,"Nothing to add, thank you","2015-12-28 22:13:35"
1619,1,224,"20 minutes","2015-12-28 22:55:15"
1620,2,224,High,"2015-12-28 22:55:15"
1621,3,224,,"2015-12-28 22:55:15"
1622,1,225,"15 minutes","2015-12-28 22:32:05"
1623,2,225,Medium,"2015-12-28 22:32:05"
1624,3,225,,"2015-12-28 22:32:05"
1625,1,226,"20 minutes","2015-12-28 22:51:31"
1626,2,226,Medium,"2015-12-28 22:51:36"
1627,3,226,"This was pretty interesting.  I did my best but, I only have experience with a few types of smart home products (nest, home alarm system, etc) so, I hope some of my ideas were useful.","2015-12-28 22:51:36"
1628,1,227,"It took me about 20 minutes","2015-12-28 23:51:28"
1629,2,227,High,"2015-12-28 23:51:28"
1630,3,227,"This was fun. It made me think long and hard for what i wanted in a smart home","2015-12-28 23:51:28"
1631,1,228,"35 mins","2015-12-28 23:56:57"
1632,2,228,Medium,"2015-12-28 23:56:57"
1633,3,228,"Its interesting to see how many different things we can use to help  around out homes","2015-12-28 23:56:57"
1634,1,230,40,"2015-12-28 23:46:34"
1635,2,230,"Very high","2015-12-28 23:46:34"
1636,3,230,"ridiculous amount of time and energy needed for $3","2015-12-28 23:46:34"
1637,1,232,25,"2015-12-28 23:39:09"
1638,2,232,Easy,"2015-12-28 23:39:09"
1639,3,232,"i liked it a lot, it was very entertaining","2015-12-28 23:39:09"
1640,1,233,00:15,"2015-12-28 23:27:53"
1641,2,233,Medium,"2015-12-28 23:27:53"
1642,3,233,,"2015-12-28 23:27:53"
1643,1,235,0:20,"2015-12-29 00:53:28"
1644,2,235,High,"2015-12-29 00:53:28"
1645,3,235,"Interesting survey","2015-12-29 00:53:28"
1646,1,237,00:25,"2015-12-29 00:57:24"
1647,2,237,Easy,"2015-12-29 00:57:24"
1648,3,237,"fun and interesting","2015-12-29 00:57:24"
1649,1,239,00:19,"2015-12-29 01:31:56"
1650,2,239,High,"2015-12-29 01:31:56"
1651,3,239,"I really tried to come up with some different ones than I was presented with.","2015-12-29 01:31:56"
1652,1,240,"25 minutes","2015-12-29 03:16:55"
1653,2,240,High,"2015-12-29 03:16:55"
1654,3,240,"Interesting to think about.","2015-12-29 03:16:55"
1655,1,241,"20 minutes","2015-12-29 03:14:50"
1656,2,241,Medium,"2015-12-29 03:14:50"
1657,3,241,,"2015-12-29 03:14:50"
1658,1,242,00:25,"2015-12-29 03:17:01"
1659,2,242,Medium,"2015-12-29 03:17:01"
1660,3,242,,"2015-12-29 03:17:01"
1661,1,246,00:45,"2015-12-29 03:35:34"
1662,2,246,Medium,"2015-12-29 03:35:34"
1663,3,246,"very interesting survey!","2015-12-29 03:35:34"
1664,1,247,"20 min","2015-12-29 03:13:59"
1665,2,247,Medium,"2015-12-29 03:13:59"
1666,3,247,,"2015-12-29 03:13:59"
1667,1,251,"25 minutes","2015-12-29 03:25:58"
1668,2,251,Medium,"2015-12-29 03:25:58"
1669,3,251,"Good survey.","2015-12-29 03:25:58"
1670,1,252,"About 10 to 15 minutes for the first main task, I believe, and 2 for the second.","2015-12-29 03:16:44"
1671,2,252,Easy,"2015-12-29 03:16:44"
1672,3,252,,"2015-12-29 03:16:44"
1673,1,254,"35 min","2015-12-29 03:25:37"
1674,2,254,Medium,"2015-12-29 03:25:37"
1675,3,254,"pay should be higher based on the level and quantity of original content requested","2015-12-29 03:25:37"
1676,1,256,00:30,"2015-12-29 03:21:00"
1677,2,256,Medium,"2015-12-29 03:21:00"
1678,3,256,"This was an enjoyable task. ","2015-12-29 03:21:00"
1679,1,258,00:35,"2015-12-29 03:26:38"
1680,2,258,"Very easy","2015-12-29 03:26:38"
1681,3,258,"After about 7 items it became difficult to creatively think of new features.","2015-12-29 03:26:38"
1682,1,259,00:35,"2015-12-29 03:49:49"
1683,2,259,Medium,"2015-12-29 03:49:49"
1684,3,259,"Thanks, I enjoyed brainstorming.","2015-12-29 03:49:49"
1685,1,261,"00.34  for thirty four minutes","2015-12-29 03:34:23"
1686,2,261,Medium,"2015-12-29 03:34:23"
1687,3,261,"it was very knowledgeble and energitic","2015-12-29 03:34:23"
1688,1,262,"20 minutes","2015-12-29 03:16:42"
1689,2,262,Easy,"2015-12-29 03:16:42"
1690,3,262,,"2015-12-29 03:16:42"
1691,1,263,00:25,"2015-12-29 03:26:24"
1692,2,263,Medium,"2015-12-29 03:26:24"
1693,3,263,,"2015-12-29 03:26:24"
1694,1,264,00:25,"2015-12-29 03:24:37"
1695,2,264,Medium,"2015-12-29 03:24:37"
1696,3,264,Interesting,"2015-12-29 03:24:37"
1697,1,270,"40 Min","2015-12-29 03:40:25"
1698,2,270,Medium,"2015-12-29 03:40:25"
1699,3,270,,"2015-12-29 03:40:25"
1700,1,271,00:35,"2015-12-29 04:01:13"
1701,2,271,Medium,"2015-12-29 04:01:13"
1702,3,271,,"2015-12-29 04:01:13"
1703,1,273,00:20,"2015-12-29 03:54:03"
1704,2,273,Medium,"2015-12-29 03:54:03"
1705,3,273,,"2015-12-29 03:54:03"
1706,1,274,"30 minutes","2015-12-29 04:07:24"
1707,2,274,Medium,"2015-12-29 04:07:24"
1708,3,274,,"2015-12-29 04:07:24"
1709,1,276,00:20,"2015-12-29 04:27:22"
1710,2,276,Medium,"2015-12-29 04:27:22"
1711,3,276,"Loving the ideas!","2015-12-29 04:27:22"
1712,1,279,"about 20 minutes","2015-12-29 04:55:30"
1713,2,279,High,"2015-12-29 04:55:30"
1714,3,279,thanks,"2015-12-29 04:55:30"
1715,1,280,"45 minutes","2015-12-29 05:26:07"
1716,2,280,Medium,"2015-12-29 05:26:07"
1717,3,280,"It is interesting and I enjoyed a lot.","2015-12-29 05:26:07"
1718,1,281,"20:00 minutes","2015-12-29 05:14:57"
